Prod_Num,Product,CategoryID,SubcategoryID,Category,Subcategory
105250-IT,Realme Pad,120,120-tab,Technology & Accessories,Tablets
105251-IT,Lenovo Tab P12 Pro,120,120-tab,Technology & Accessories,Tablets
105252-IT,Microsoft Surface Pro 9,120,120-tab,Technology & Accessories,Tablets
105253-IT,"Apple iPad Pro (12.9-inch, M2)",120,120-tab,Technology & Accessories,Tablets
105254-IT,Chuwi HiPad Max,120,120-tab,Technology & Accessories,Tablets
105255-IT,Lenovo Yoga Smart Tab,120,120-tab,Technology & Accessories,Tablets
105256-IT,ASUS Vivobook 13 Slate OLED,120,120-tab,Technology & Accessories,Tablets
105257-IT,Samsung Galaxy Tab S9 Ultra,120,120-tab,Technology & Accessories,Tablets
105258-IT,Apple iPad Air (10.9-inch),120,120-tab,Technology & Accessories,Tablets
105259-IT,Teclast T40 Pro,120,120-tab,Technology & Accessories,Tablets
